,Goal,Workouts,,
Week,5/18/2026,Day 1,Day 2,Day 3
Pull Up Program,Build familiarity with the pull up and set a baseline for consistency.,"A: Bent over row (dumbbell or barbell) 3 sets of 8 reps. Moderate challenge

B: 3 sets, 5 reps per set (3 x 5) of banded pull ups. Use sufficient band tension that the last rep is challenging, but you can get full range of motion.","A: 2 sets of 15 reps each of banded face pulls and pull downs

B: 3 sets of 3 reps: Top of pull up hold for 3 seconds then 2 second negative (Stand on a box for support but try to use your legs as little as possible as you hold your chin over the bar for the entire three seconds, then a slow negative. Stand back up and repeat three times)","A: 2 sets of 30s active hang (pull down with the scaps, feel the activation in the back of your shoulder.

B: Three sets of rings rows to near failure (1 rep in reserve). Between sets, hold a 30s plank, then rest another 30s to 1min."
Nutrition,Track grams of fruits and vegetables each day to get an average daily intake for the week.,,,
Shivansh Notes,"Add some notes about how things felt, how the weight/band resistance is progressing, etc. This will be good context for me when we check in after a few weeks.",Used 2 Red bands for assistance. ,,
,,,,
Week,5/25/2026,Day 1,Day 2,Day 3
Pull Up Program,"Starting to ramp up pulling volume, locking in consistency with hitting three days per week.","A: Bent over row (dumbbell or barbell) 3 sets of 8 reps. Go up 5-10# from last week.

B: 3 x 6 banded pull ups. Same band tension as last week. ","A: 2 sets of 15 reps each of banded face pulls and pull downs

B: 3 sets of 3 reps: Top of pull up hold for 3 seconds then 3 second negative. ","A: 2 sets of 35s active hang (pull down with the scaps, feel the activation in the back of your shoulder.

B: Three sets of rings rows to near failure (1 rep in reserve). Between sets, hold a 35s plank, then rest another 30s to 1min."
Nutrition,"Try and add 100g of fruits and vegetables compared to last week. This is especially helpful in the morning for breakfast (i.e. eat an apple, a large banana, etc. before leaving for work).",,,
Shivansh Notes,,,,
,,,,
Week,6/1/2026,Day 1,Day 2,Day 3
Pull Up Program,"Balance continuing to increase pulling volume with starting to touch more difficult, less rep pulls.","A: Bent over row (dumbbell or barbell) 4 sets of 5 reps. Same moderate challenge, but with higher weight.

B: 3 x 3 banded pull ups. Less band tension - make these difficult ","A: 2 sets of 15 reps each of banded face pulls and pull downs

B: 3 sets of 3 reps: Top of pull up hold for 4 seconds then 3 second negative. ","A: 1 sets of 45s active hang (pull down with the scaps, feel the activation in the back of your shoulder.

B: Four sets of rings rows to less than failure (2-3 reps in reserve). Between sets, hold a 30s plank, then rest another 30s to 1min."
Nutrition,,,,
Shivansh Notes,,,,
,,,,
Week,6/8/2026,Day 1,Day 2,Day 3
Pull Up Program,"Balance continuing to increase pulling volume with starting to touch more difficult, less rep pulls.","A: Bent over row (dumbbell or barbell) 4 sets of 5 reps. Go up 5-10# from last week.

B: 3 x 3 banded pull ups. Less band tension - make these difficult ","A: 2 sets of 15 reps each of banded face pulls and pull downs

B: 3 sets of 3 reps: Top of pull up hold for 4 seconds then 3 second negative. ","A: 1 sets of 50s active hang (pull down with the scaps, feel the activation in the back of your shoulder.

B: Four sets of rings rows to less than failure (2-3 reps in reserve). Between sets, hold a 30s plank, then rest another 30s to 1min."
Nutrition,,,,
Shivansh Notes,,,,
,,,,
Week,6/15/2026,Day 1,Day 2,Day 3
Pull Up Program,Check in and retest,,,
Nutrition,,,,
Shivansh Notes,,,,
